O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel
19-4012.00,RI,3.0,3.5,42.857142857142854,50.0,Mid,Mid
19-4012.01,RI,3.25,3.62,46.42857142857143,51.714285714285715,Mid,Mid
19-4013.00,RC,3.0,3.38,42.857142857142854,48.285714285714285,Mid,Mid
19-4021.00,RI,3.5,4.0,50.0,57.14285714285714,Mid,Mid
19-4031.00,IR,3.12,4.12,44.57142857142857,58.85714285714286,Mid,Mid
19-4042.00,IR,3.5,3.75,50.0,53.57142857142857,Mid,Mid
19-4043.00,RC,3.25,3.25,46.42857142857143,46.42857142857143,Mid,Mid
19-4044.00,RC,0.0,0.0,0.0,0.0,Low,Low
19-4051.00,RC,3.12,3.38,44.57142857142857,48.285714285714285,Mid,Mid
19-4051.02,RC,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid
19-4061.00,IC,3.12,3.88,44.57142857142857,55.42857142857143,Mid,Mid
19-4071.00,RC,3.0,3.38,42.857142857142854,48.285714285714285,Mid,Mid
19-4092.00,IC,3.62,4.12,51.714285714285715,58.85714285714286,Mid,Mid
19-4099.01,CI,3.25,3.62,46.42857142857143,51.714285714285715,Mid,Mid
19-4099.03,RC,3.38,3.88,48.285714285714285,55.42857142857143,Mid,Mid
19-5011.00,IC,3.62,4.0,51.714285714285715,57.14285714285714,Mid,Mid
19-5012.00,RC,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid
21-1011.00,SI,3.5,4.12,50.0,58.85714285714286,Mid,Mid
21-1012.00,SE,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid
21-1013.00,SI,4.12,4.25,58.85714285714286,60.71428571428571,Mid,Mid
21-1014.00,SI,3.75,4.5,53.57142857142857,64.28571428571429,Mid,Mid
21-1015.00,S,3.62,3.88,51.714285714285715,55.42857142857143,Mid,Mid
21-1021.00,S,3.5,4.25,50.0,60.71428571428571,Mid,Mid
21-1022.00,SI,3.88,4.0,55.42857142857143,57.14285714285714,Mid,Mid
21-1023.00,SI,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid
21-1091.00,SI,3.0,4.0,42.857142857142854,57.14285714285714,Mid,Mid
21-1092.00,SC,3.38,4.0,48.285714285714285,57.14285714285714,Mid,Mid
21-1093.00,SC,3.12,4.0,44.57142857142857,57.14285714285714,Mid,Mid
21-1094.00,S,3.5,3.75,50.0,53.57142857142857,Mid,Mid
21-2011.00,SE,3.62,3.88,51.714285714285715,55.42857142857143,Mid,Mid
21-2021.00,SE,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid
23-1011.00,EC,4.25,5.0,60.71428571428571,71.42857142857143,Mid,Advanced
23-1012.00,CE,3.62,4.62,51.714285714285715,66.0,Mid,Mid
23-1021.00,CE,4.0,5.12,57.14285714285714,73.14285714285714,Mid,Advanced
23-1022.00,EC,3.75,4.75,53.57142857142857,67.85714285714286,Mid,Mid
23-1023.00,EC,5.0,5.75,71.42857142857143,82.14285714285714,Advanced,Advanced
23-2011.00,CI,3.0,3.62,42.857142857142854,51.714285714285715,Mid,Mid
23-2093.00,CE,3.0,3.62,42.857142857142854,51.714285714285715,Mid,Mid
25-1011.00,SI,3.75,4.38,53.57142857142857,62.57142857142857,Mid,Mid
25-1021.00,SI,4.0,4.5,57.14285714285714,64.28571428571429,Mid,Mid
25-1022.00,SI,3.62,4.12,51.714285714285715,58.85714285714286,Mid,Mid
25-1031.00,SI,4.25,4.38,60.71428571428571,62.57142857142857,Mid,Mid
25-1032.00,SI,3.38,4.12,48.285714285714285,58.85714285714286,Mid,Mid
25-1041.00,SI,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid
25-1042.00,SI,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid
25-1043.00,SI,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid
25-1051.00,SI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
25-1052.00,IS,4.0,4.0,57.14285714285714,57.14285714285714,Mid,Mid
25-1053.00,SI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
25-1054.00,SI,4.0,4.88,57.14285714285714,69.71428571428572,Mid,Mid
25-1061.00,SI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
25-1062.00,SI,3.62,4.12,51.714285714285715,58.85714285714286,Mid,Mid
25-1063.00,SI,3.62,4.12,51.714285714285715,58.85714285714286,Mid,Mid
25-1064.00,SI,3.75,4.0,53.57142857142857,57.14285714285714,Mid,Mid
25-1065.00,SI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
25-1066.00,SI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
25-1067.00,SI,3.75,4.12,53.57142857142857,58.85714285714286,Mid,Mid
25-1071.00,SI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
25-1072.00,SI,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid
